ticker,auc_test,auc_train,acc_test,acc_train
CF,0.5428170594837262,0.6052950961027622,0.4740061162079511,0.5528046421663443
WH,0.581972029615701,0.6415396043474861,0.578544061302682,0.6175889328063241
DD,0.5415524259579844,0.5935697924803777,0.48623853211009177,0.5806576402321083
COP,0.5446093091020627,0.6507520859992427,0.4831804281345566,0.5640232108317215
NXPI,0.45830525606468997,0.6711120736734763,0.48623853211009177,0.5176015473887814
OC,0.5288461538461539,0.6569992126382397,0.5611620795107034,0.5377176015473888
WSM,0.4651077890834886,0.6602432663906317,0.4877675840978593,0.548936170212766
GLOB,0.5273083422952833,0.6377685693070492,0.39400428265524623,0.6013071895424836
AME,0.4741697590304853,0.6202527293564147,0.4877675840978593,0.5404255319148936
SQ,0.6916014960897654,0.7242799404816628,0.6294416243654822,0.6347769877181642
USFD,0.5278579156148575,0.6579525899496377,0.4849315068493151,0.5990202939118264
DLTR,0.5352820300128195,0.6676520032109933,0.4510703363914373,0.5876208897485493
ARES,0.5850312074036874,0.7426636179795938,0.5978947368421053,0.6672017121455324
BLCO,0.5218855218855218,0.6685354847531793,0.35294117647058826,0.5919540229885057
ZM,0.49213239283776444,0.6972484248316406,0.4597156398104265,0.6196319018404908
ASO,0.7029177718832891,0.6546192588138015,0.5955882352941176,0.627906976744186
CNM,0.4108187134502924,0.6903225806451612,0.6129032258064516,0.5454545454545454
CDAY,0.4490203193033382,0.7441215548139908,0.583969465648855,0.6679764243614931
NTAP,0.36890198279087166,0.676384371867631,0.4617737003058104,0.5295938104448743
SRE,0.599611877484218,0.6190866511960578,0.5412844036697247,0.5686653771760155
TMUS,0.5460554270336623,0.653989048370701,0.43883792048929665,0.606963249516441
CTRA,0.5290901404481188,0.6316226146734621,0.5351681957186545,0.5794970986460348
ALV,0.5364268143256667,0.6077142963210453,0.5137614678899083,0.5620889748549323
ZBH,0.5384708908113163,0.581147080939309,0.5015290519877675,0.541972920696325
GILD,0.5299466594170972,0.6418344559197725,0.5137614678899083,0.6061895551257254
BJ,0.4567033231176012,0.6737588652482269,0.4418604651162791,0.6127744510978044
DIS,0.5236213400395185,0.6724134908140291,0.5764525993883792,0.6301740812379111
MDT,0.4647269303201507,0.6308376472012835,0.44954128440366975,0.581431334622824
ACHC,0.4934425768469997,0.6847451819817376,0.44801223241590216,0.6259187620889749
RPM,0.5294519266741489,0.6015016415574852,0.5443425076452599,0.5988394584139265
HEI,0.5059471759141726,0.6207198127789056,0.5458715596330275,0.6
PFGC,0.4620729014168383,0.6436958412524562,0.5298507462686567,0.6092463584547182
CTAS,0.4680546893739506,0.6301451320916818,0.5795107033639144,0.5864603481624758
TEX,0.4884118398317181,0.6791663410969196,0.5168195718654435,0.6073500967117988
YUMC,0.49176706827309236,0.6515354418580225,0.48265895953757226,0.5986696230598669
TRMB,0.5264876497005988,0.6963152555542765,0.4954128440366973,0.5899419729206963
T,0.52740892392469,0.6015511928381785,0.4602446483180428,0.569825918762089
PVH,0.4610886189833558,0.6376514385160823,0.4740061162079511,0.6042553191489362
VRNS,0.4450757575757576,0.6785515054129079,0.51440329218107,0.6168322007318349
WMB,0.5917610033350558,0.6463105608552494,0.5596330275229358,0.6065764023210831
FIVE,0.3839041430525699,0.6825582126135185,0.39965095986038396,0.5778072502210433
SWN,0.4773518504503141,0.6387856339625544,0.4648318042813456,0.5686653771760155
CSX,0.5657161586365127,0.599759653213057,0.518348623853211,0.5524177949709864
ECL,0.5442684935609464,0.5879639395857126,0.518348623853211,0.5589941972920697
WM,0.5808069895251068,0.6840370369011856,0.5229357798165137,0.5972920696324951
MA,0.6517488024148566,0.5881407816914743,0.5244648318042814,0.5934235976789168
AMT,0.532275483137552,0.6046221176276295,0.555045871559633,0.5783365570599613
URI,0.5153403916211293,0.6335244123578558,0.4617737003058104,0.6073500967117988
CSCO,0.53045197740113,0.6678604812938849,0.5443425076452599,0.5531914893617021
RL,0.46453567128236006,0.6487250352577225,0.5152905198776758,0.5899419729206963
SO,0.6506329596583543,0.5854754047569297,0.6269113149847095,0.5268858800773695
TXT,0.584301085462388,0.6506484450259522,0.45871559633027525,0.5075435203094778
